Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
506597.0,BSE,Amal Ltd,AMAL,AMAL LTD.,Active,X ,10.0,INE841D01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
